t,reliability,latency
0,0.8396571240362675,0.8533616665348058
1,0.8220237522950977,1.0463619161976236
2,0.8424052549223049,1.126561103763972
3,0.8485135861849963,1.1077198541848892
4,0.8479789456268855,0.9020227244460535
5,0.8567678417209178,1.0511244165151221
6,0.8569190646090992,1.057421514501493
7,0.8787803099230244,1.0475812863703784
8,0.8295114465825912,0.8619064189716251
9,0.8281805742731905,1.1933786263011168
10,0.8371892630297519,1.0160935338421802
11,0.8575571441691504,0.8189032412142063
12,0.8581757249515228,1.186341717694638
13,0.867102482704493,0.952032746731418
14,0.8332680962922355,1.089034374242735
15,0.8588862550228624,1.0038570162987772
16,0.8626862588412632,0.8010869065814032
17,0.8361757662013698,1.1464134850575742
18,0.8282281987813249,0.91785141198503
19,0.8311971001336216,1.019161957646352
20,0.8572319090788711,0.9376303606644207
21,0.8213549881527916,1.0973228769540553
22,0.8515644046398535,1.0235706472529689
23,0.8770143986496239,1.0313781915102778
24,0.8252987852779061,1.0616665753857926
25,0.8715564348197975,1.1644872152315224
26,0.8313142170988091,1.0211747146586836
27,0.8407498776896288,0.9867526844247858
28,0.8566760698000065,0.9217682310154882
29,0.8650925936464794,1.0045048475930767
30,0.8651421409155436,1.11009607180059
31,0.8451511102186233,0.8771268052698012
32,0.8521918250464438,1.1048344688762257
33,0.8766026587588324,0.8502923957877729
34,0.8207683125219455,0.8043960239251348
35,0.8655815358140724,1.1753037876635268
36,0.8372233394218008,1.0359894446390783
37,0.8759663661697006,0.8721009949103186
38,0.8411374612004288,1.074185668323095
39,0.8769414213753818,0.8482441675354198
40,0.8715857745165616,0.9876493859479001
41,0.8335163795766695,1.0253930475199657
42,0.8572243638061781,1.0043189638780343
43,0.8247214210468584,1.1716837718120419
44,0.8337910166710725,0.928821469772206
45,0.8426452543316508,0.9048848046132068
46,0.8313464682430165,0.8758464777956311
47,0.8741096094355525,0.8542627211603215
48,0.8232716184339642,1.088031862842214
49,0.8511310170450074,1.0725038726039768
50,0.8754068335177154,1.1352173025678323
51,0.868697647309325,0.9956903107278644
52,0.8274163375932031,0.8776304469861894
53,0.8676341944088323,0.9313882332341668
54,0.8681266211017065,0.9065840884421359
55,0.8639250877436926,0.8386864405502231
56,0.8338344369492096,0.9181850450483207
57,0.8433699043724993,1.033944483919629
58,0.8472760757004445,0.9983060428735112
59,0.8296954838520512,0.851749445137835
60,0.8625101071023495,0.8005033949540213
61,0.8349636019107055,1.0344951789774046
62,0.8260788959324751,0.8236118986734691
63,0.8718313431291269,0.946392940476005
64,0.8447482163521535,0.8887564819780722
65,0.8285059169893889,1.1463767547255366
66,0.8667700502001127,1.0587621243823226
67,0.8277811219796127,0.918761813331218
68,0.8536176661776272,0.9930805389787581
69,0.852585065280478,0.9564945196591152
70,0.8531669619165319,1.0903264227059801
71,0.8458208544393413,1.1087474883362796
72,0.8793478613806434,0.8116644111459415
73,0.8437587568208553,1.0995512047950042
74,0.865645918536835,0.8969821512910242
75,0.8347651683126732,1.1580986745838004
76,0.8408289271849765,1.1342846839328695
77,0.8400191944414106,1.0784994041451839
78,0.8520013994781463,1.1060855854499418
79,0.8784570255932483,0.9082955002587225
80,0.856816219571918,1.164103771019658
81,0.8615365768285077,1.1055531545140296
82,0.8398153354721093,1.0398700595820076
83,0.8469636816439043,1.046488331529919
84,0.8301728499654908,1.0846022568492844
85,0.8266570491138173,1.1149024137714334
86,0.8340683585322518,0.9780759477683307
87,0.8646130166546699,0.9401537429954769
88,0.8333892294637414,1.0150576826913087
89,0.8312344396606625,0.897413861518573
90,0.8766445459066223,1.166371294817541
91,0.8605909759603447,1.1558844108432118
92,0.8464273399179613,0.9650732393266097
93,0.8395793590332071,0.918624986697668
94,0.8777500573593455,1.1330323121143546
95,0.83529638358168,1.1593578982273032
96,0.8788404603439774,1.0140242866976144
97,0.8773944461959433,1.1743759090642554
98,0.8545507391450636,1.0385503462075714
99,0.8273899350848901,0.9575868005665905
100,0.8511872770622515,1.125860938067586
101,0.8429297342645389,1.1207524981262513
102,0.8798415499332044,0.974370756873425
103,0.8458407251214338,0.9209277084565222
104,0.8374093878448194,1.0015288077132085
105,0.8421322754365362,0.8938890790971419
106,0.8600233979567462,0.8263452480758688
107,0.8696362357982481,1.128269237226911
108,0.8309369814143135,1.1814318426209651
109,0.8357121070849599,0.8746349986596024
110,0.856001129303808,1.0577715961166807
111,0.8216606749905957,0.9117201808570461
112,0.8230339564276231,1.1067392997028416
113,0.8426980053548712,1.0078996530062956
114,0.8431590357254489,1.0431706597713257
