t,reliability,latency
0,0.9629666668538345,1.2936319450893985
1,0.9368523358246484,1.0699394903680877
2,0.9525219605649462,1.117612122114991
3,0.972419052044945,1.0030447876066813
4,0.9228583546795344,1.2071483972509907
5,0.958346855928161,1.0288124998756953
6,0.9696840520393891,1.3392114154350216
7,0.9328524662097782,1.2065834965014535
8,0.9484492121243503,1.2356641637033765
9,0.9374293758447361,1.1946540558326646
10,0.9677584449379517,1.2758046712027955
11,0.9391202662142348,1.3789303208560626
12,0.9471776308365636,1.0878839316506228
13,0.9202621803029306,1.2945978503767213
14,0.9768306095641057,1.1747602709695908
15,0.9731357145761962,1.263398691332087
16,0.9450320150465841,1.0571744635865945
17,0.9289590812965867,1.1164443149086027
18,0.9687275979208706,1.1423550848243553
19,0.9571008211813322,1.1194563566921252
20,0.9393982915586857,1.1513502094931467
21,0.9701567843361871,1.4256431663003886
22,0.9227037231266549,1.2776768544521644
23,0.9479004123814446,1.0692961628271092
24,0.9186354526167554,1.1403726343054206
25,0.9494756005735124,1.3586596335575845
26,0.9314797033109731,1.0737941637213315
27,0.9233199096255357,1.2441726421351207
28,0.9514103026585136,1.4186681280550089
29,0.964266752818224,1.0428716829667213
30,0.918488150960474,1.2120131995393817
31,0.9578265181672362,1.3787437422974071
32,0.947908926282455,1.1009324728317134
33,0.9699717969318565,1.208547766657522
34,0.9231444845296277,1.0674582249514541
35,0.9376966044976295,1.114891678741706
36,0.9667371264472722,1.313247715931361
37,0.9151645375014352,1.1343367273791432
38,0.9101867712355999,1.1308408521093183
39,0.937779640626388,1.0789345761301656
40,0.9663833987243415,1.0910240520462067
41,0.9420548726806456,1.336405206350482
42,0.9090779164671023,1.0869486520205878
43,0.9214644311526193,1.248139864348314
44,0.940937713067364,1.4280534789264552
45,0.9589025094226398,1.3099096922418736
46,0.9282089992376418,1.2911004256388352
47,0.9197622728957832,1.151637576235895
48,0.919858306250861,1.1511117531767439
49,0.9473357558123243,1.0722634994039408
50,0.9603832346387864,1.1238563577021385
51,0.9192721336901961,1.3554189723008605
52,0.9231253838213065,1.443766840268787
53,0.9529858927259589,1.1516146890534762
54,0.942474907196942,1.106134074075304
55,0.9326385871762973,1.2987449969444667
56,0.9426524904381836,1.1689515039542522
57,0.9238156737064093,1.3648002054846171
58,0.9345590887962939,1.2608034003254445
59,0.9537559055164156,1.239924283758198
60,0.9108105241700631,1.1941800740795234
61,0.947007200584751,1.279412677954018
62,0.9225588418058356,1.476069362132804
63,0.9586484866687655,1.408010936647999
64,0.9156520496780168,1.4128278057227721
65,0.9218315556873594,1.4015165669817624
66,0.9574996552522604,1.4605012926016598
67,0.9071325628103889,1.3252667766327337
68,0.9115127969016134,1.1141597566513866
69,0.9470590163820162,1.1823680484690433
70,0.9554526268118824,1.3615706743370526
71,0.9495655216927045,1.276812185534125
72,0.9249442755518626,1.1505920068235327
73,0.9369614181071423,1.3960487934308239
74,0.9590182670813736,1.4039689660934873
75,0.9271996857583321,1.1204836808659007
76,0.9048016161187615,1.427226820980012
77,0.9354154515225281,1.3225582889918366
78,0.9576405577209526,1.2209293561924068
79,0.9226533561150597,1.1623437202286595
80,0.9491634423150415,1.4881091039541268
81,0.9201860528357921,1.4434477321113288
82,0.9103228829401018,1.3833704274695524
83,0.9504824357771365,1.3272509095157652
84,0.9233539598508563,1.2613615773181919
85,0.9177972474586449,1.3503245088259244
86,0.9238618591004831,1.2437768670415879
87,0.9538968587369975,1.164572779410684
88,0.9058844544780094,1.4120152264089936
89,0.900501873589585,1.2934637487655756
90,0.9110097157935039,1.3372530120235582
91,0.9143543491519914,1.2174594543817976
92,0.9347915754454733,1.140759755893282
93,0.9216358172243234,1.1870571960366703
94,0.9458380210645339,1.4047703707851482
95,0.9367996103108212,1.238873934965922
96,0.9491486650267105,1.3280004560764738
97,0.9281118946911386,1.2579594981974227
98,0.9221792955251743,1.345480335130221
99,0.8971928611253062,1.1938261254428264
100,0.8981399565448077,1.4541646759721885
101,0.9283322163139702,1.1861971700107103
102,0.9316315088038571,1.312862876016351
103,0.9503290048704754,1.4474107053404062
104,0.9144747737597667,1.4127747893976563
105,0.9024637180958324,1.2105202606064929
106,0.9042889439153111,1.198337505810868
107,0.9079777005057922,1.2482592759186282
108,0.9166132274386518,1.382255307387589
109,0.92477089495773,1.214684990262093
110,0.9191257705505451,1.5461746998578891
111,0.9441877638344097,1.313855817880921
112,0.8906812059937252,1.2502662982776906
113,0.9300829370350654,1.1939348565885988
114,0.927479076690714,1.2618595811981206
115,0.9329670812706278,1.2683625729316648
116,0.9080085750827982,1.3099280071280994
117,0.8922302011705264,1.2598449320384744
118,0.9390440061832357,1.3489616131042639
119,0.9089728277855943,1.5716888439123666
120,0.9054541646746185,1.459639795499626
121,0.9421169223877757,1.4582285523238494
122,0.8928809740270953,1.2356835344615944
123,0.9194500302086019,1.3952222302869093
124,0.9310225254430099,1.31715303868857
125,0.8863632756573743,1.3721789602548253
126,0.9003825495953959,1.2143242069270404
127,0.9390831526508894,1.4630327736601059
128,0.9025747760176241,1.3844023653633424
129,0.9183121075031713,1.284350553332639
130,0.9326852054234742,1.4227363879756882
131,0.8904465079756071,1.378733513514164
132,0.9300971076014958,1.5537216660092446
133,0.9035774995202064,1.5554047330532792
134,0.8925538894985637,1.2510808201462422
135,0.9262262947448722,1.5290289638518124
136,0.9250992227830468,1.2266183355044684
137,0.9361366292346209,1.4151456284769977
138,0.894212237870298,1.4676356398645503
139,0.8853906501795039,1.5667365547442815
140,0.9098872403546752,1.3349622767736924
141,0.9005859841834212,1.5029742280141187
142,0.928537679416993,1.4348348045870676
